"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
Super Warrior of Destruction Legendary Super Saiyan Broly,Extreme,STR,,"9,843",-0.34,"9,243",-0.3,"4,532",-0.67,,"12,643",-0.02,"12,043",0.11,"7,332",-0.06,,"16,843",0.43,"16,803",0.75,"10,972",0.43
Surpassing All Perfect Cell,Extreme,TEQ,,"9,792",-0.36,"8,432",-0.62,"6,034",0.22,,"12,592",-0.03,"11,232",-0.2,"8,834",0.76,,"16,232",0.26,"15,992",0.48,"13,034",1.39
Heartless Destruction Majin Buu (Pure),Extreme,PHY,,"11,050",0.04,"7,749",-0.9,"3,542",-1.26,,"13,850",0.35,"10,549",-0.46,"6,342",-0.6,,"18,610",0.92,"14,749",0.06,"9,982",-0.03
Mystery Super Technique Super Saiyan 3 Goku,Super,AGL,,"9,500",-0.45,"8,672",-0.53,"4,623",-0.62,,"12,300",-0.12,"11,472",-0.11,"7,423",-0.01,,"15,940",0.18,"15,672",0.37,"12,183",1
The Supreme Warrior Super Gogeta,Super,STR,,"10,750",-0.05,"10,200",0.09,"4,125",-0.91,,"13,550",0.26,"13,000",0.47,"6,925",-0.28,,"17,750",0.68,"17,760",1.07,"10,565",0.25
Netherworld Demon Super Janemba,Extreme,INT,,"7,945",-0.94,"9,219",-0.31,"4,222",-0.86,,"10,745",-0.59,"12,019",0.1,"7,022",-0.23,,"14,945",-0.1,"16,219",0.55,"11,222",0.55
Emperor's Devotion Freeza (Full Power),Extreme,PHY,,"9,250",-0.53,"8,700",-0.52,"4,875",-0.47,,"12,050",-0.2,"11,500",-0.1,"7,675",0.13,,"16,810",0.42,"15,700",0.38,"11,315",0.59
Ultimate Power Surge Ultimate Gohan,Super,INT,,"9,306",-0.51,"8,478",-0.6,"4,708",-0.57,,"12,106",-0.18,"11,278",-0.18,"7,508",0.04,,"16,306",0.28,"15,478",0.3,"11,708",0.78
Warrior's True Value Super Saiyan 3 Vegeta,Super,STR,,"9,695",-0.39,"8,556",-0.57,"4,417",-0.74,,"12,495",-0.06,"11,356",-0.15,"7,217",-0.12,,"16,695",0.39,"16,116",0.52,"10,857",0.38
Devastating Punishment Beerus,Super,TEQ,,"8,722",-0.69,"8,950",-0.42,"3,785",-1.12,,"11,522",-0.36,"11,750",-0.01,"6,585",-0.47,,"15,162",-0.04,"16,510",0.65,"10,785",0.35
Unparalleled Golden Ki Super Vegetto,Super,AGL,,"11,150",0.07,"10,840",0.35,"4,225",-0.85,,"13,150",0.14,"12,840",0.41,"6,225",-0.67,,"15,750",0.12,"15,840",0.42,"9,625",-0.19
Eternal Horror Legendary Super Saiyan Broly,Extreme,PHY,,"10,350",-0.18,"9,500",-0.19,"3,325",-1.39,,"12,350",-0.11,"11,500",-0.1,"5,325",-1.16,,"15,750",0.12,"14,500",-0.03,"7,925",-0.98
Grim Reaper of Justice's Rampage Super Saiyan 3 Gotenks,Super,TEQ,,"9,412",-0.48,"9,357",-0.25,"4,906",-0.45,,"11,412",-0.39,"11,357",-0.15,"6,906",-0.29,,"14,012",-0.36,"14,757",0.06,"9,906",-0.06
Next-Level Strike Super Saiyan God SS Goku,Super,AGL,,"8,550",-0.75,"9,300",-0.27,"4,475",-0.71,,"10,550",-0.65,"11,300",-0.18,"6,475",-0.53,,"13,150",-0.6,"14,300",-0.09,"9,875",-0.07
Countdown to Despair Majin Buu (Ultimate Gohan),Extreme,INT,,"10,017",-0.29,"9,181",-0.32,"3,999",-0.99,,"12,017",-0.21,"11,181",-0.22,"5,999",-0.79,,"15,017",-0.08,"14,181",-0.13,"8,999",-0.48
Fire of Vengeance Golden Freeza,Extreme,TEQ,,"9,350",-0.5,"8,980",-0.4,"4,475",-0.71,,"11,350",-0.41,"10,980",-0.3,"6,475",-0.53,,"13,950",-0.38,"14,380",-0.07,"9,475",-0.26
Hopeless Minus Energy Omega Shenron,Extreme,STR,,"9,520",-0.44,"8,803",-0.47,"7,011",0.8,,"11,520",-0.36,"10,803",-0.36,"9,011",0.86,,"14,520",-0.22,"14,203",-0.13,"11,611",0.73
Dark Menace Goku Black,Extreme,PHY,,"9,950",-0.31,"8,700",-0.52,"4,525",-0.68,,"11,950",-0.23,"10,700",-0.4,"6,525",-0.5,,"15,350",0.01,"13,700",-0.29,"9,125",-0.42
Azure Omnipotence Super Saiyan God SS Vegetto,Super,PHY,,"10,300",-0.2,"11,500",0.61,"4,551",-0.66,,"12,300",-0.12,"13,500",0.66,"6,551",-0.49,,"15,700",0.11,"16,500",0.65,"9,151",-0.41
Rose Stained Super Saiyan Goku Black (Super Saiyan Rose'),Extreme,AGL,,"11,420",0.16,"10,100",0.05,"4,755",-0.54,,"13,420",0.22,"12,100",0.13,"6,755",-0.38,,"16,020",0.2,"15,100",0.18,"10,155",0.05
Welcome to Hell Perfect Cell,Extreme,STR,,"9,524",-0.44,"8,826",-0.46,"5,064",-0.35,,"11,524",-0.35,"10,826",-0.36,"7,064",-0.21,,"14,524",-0.22,"14,226",-0.12,"9,664",-0.17
Wrath of the Absolute God Fusion Zamasu,Extreme,TEQ,,"9,318",-0.51,"9,694",-0.12,"4,083",-0.94,,"11,318",-0.42,"11,694",-0.03,"6,083",-0.74,,"13,918",-0.38,"15,094",0.17,"9,083",-0.44
Blade of Hope and Dreams Super Saiyan Trunks (Future),Super,INT,,"9,524",-0.44,"9,074",-0.37,"4,754",-0.54,,"11,524",-0.35,"11,074",-0.26,"6,754",-0.38,,"14,524",-0.22,"14,074",-0.17,"9,754",-0.13
Passion of the Warrior Race Super Saiyan God SS Vegeta,Super,INT,,"9,212",-0.54,"9,351",-0.25,"4,752",-0.54,,"11,212",-0.45,"11,351",-0.16,"6,752",-0.38,,"14,212",-0.3,"14,351",-0.08,"9,752",-0.13
Unparalleled Super Saiyan Super Saiyan 4 Vegeta,Super,AGL,,"11,715",0.25,"10,538",0.22,"5,470",-0.11,,"13,715",0.31,"12,538",0.29,"7,470",0.02,,"16,215",0.25,"15,538",0.32,"10,870",0.39
Ultimate Super Saiyan Super Saiyan 4 Goku,Super,STR,,"11,333",0.13,"11,456",0.59,"4,514",-0.68,,"13,333",0.19,"13,456",0.64,"6,514",-0.51,,"16,333",0.29,"16,856",0.77,"9,114",-0.43
Open the Gates of Hell Cooler (Final Form),Extreme,PHY,,"11,125",0.07,"10,950",0.39,"4,875",-0.47,,"13,125",0.13,"12,950",0.45,"6,875",-0.31,,"16,525",0.34,"15,950",0.46,"9,475",-0.26
Astounding Transformation Super Saiyan 3 Goku (Angel),Super,TEQ,,"10,625",-0.09,"11,350",0.55,"4,625",-0.62,,"12,625",-0.02,"13,350",0.6,"6,625",-0.45,,"15,225",-0.02,"16,750",0.73,"9,625",-0.19
The Ultimate Android Super #17,Extreme,AGL,,"11,625",0.22,"10,500",0.21,"5,188",-0.28,,"13,625",0.28,"12,500",0.28,"7,188",-0.14,,"16,225",0.26,"15,500",0.31,"10,588",0.26
Transcendent Majin Majin Buu (Pure),Extreme,INT,,"11,875",0.3,"10,800",0.33,"4,688",-0.58,,"13,875",0.36,"12,800",0.39,"6,688",-0.41,,"16,875",0.44,"15,800",0.41,"9,688",-0.16
Outshining Darkness Super Gogeta,Super,INT,,"10,695",-0.07,"11,660",0.68,"4,578",-0.64,,"12,695",0,"13,660",0.72,"6,578",-0.47,,"15,695",0.11,"16,660",0.7,"9,578",-0.21
Evil Incursion Super Janemba,Extreme,STR,,"11,333",0.13,"10,793",0.33,"5,343",-0.19,,"13,333",0.19,"12,793",0.39,"7,343",-0.05,,"16,333",0.29,"16,193",0.54,"9,943",-0.04
Naught but Rampage Super Saiyan 3 Gotenks,Super,PHY,,"10,500",-0.13,"10,900",0.37,"5,250",-0.24,,"12,500",-0.06,"12,900",0.43,"7,250",-0.1,,"15,900",0.17,"15,900",0.44,"9,850",-0.09
Mythic Evolution Super Saiyan 3 Broly,Extreme,TEQ,,"10,250",-0.21,"11,300",0.53,"4,875",-0.47,,"12,250",-0.14,"13,300",0.58,"6,875",-0.31,,"14,852",-0.13,"16,700",0.71,"9,875",-0.07
Crashing Maelstrom Omega Shenron,Extreme,PHY,,"12,900",0.63,"11,060",0.43,"5,350",-0.18,,"14,900",0.67,"13,060",0.49,"7,350",-0.05,,"18,300",0.83,"16,060",0.5,"9,950",-0.04
Peerless Gleam Super Saiyan 4 Gogeta,Super,TEQ,,"11,550",0.2,"12,140",0.87,"4,675",-0.59,,"13,550",0.26,"14,140",0.9,"6,675",-0.42,,"16,150",0.24,"17,540",1,"9,675",-0.17
Hidden Power Unleashed Ultimate Gohan,Super,STR,,"10,370",-0.17,"11,716",0.7,"5,045",-0.37,,"12,370",-0.1,"13,716",0.74,"7,045",-0.22,,"15,370",0.02,"17,116",0.85,"9,645",-0.18
Emperor's True Splendor Golden Freeza (Angel),Extreme,INT,,"11,020",0.03,"10,208",0.09,"6,605",0.56,,"13,020",0.1,"12,208",0.17,"8,605",0.64,,"16,020",0.2,"15,208",0.21,"11,605",0.73
Limitless Radiance Super Vegetto,Super,PHY,,"10,760",-0.05,"10,728",0.3,"6,085",0.25,,"12,760",0.02,"12,728",0.37,"8,085",0.35,,"16,160",0.24,"15,728",0.39,"10,685",0.3
Mark of Saiyan Strength Super Saiyan 3 Bardock,Super,INT,,"11,020",0.03,"10,728",0.3,"5,955",0.18,,"13,020",0.1,"12,728",0.37,"7,955",0.28,,"16,020",0.2,"15,728",0.39,"10,955",0.43
Strength Beyond Gods Super Saiyan God SS Vegetto,Super,TEQ,,"12,495",0.5,"11,708",0.69,"4,743",-0.55,,"14,495",0.54,"13,708",0.74,"6,743",-0.38,,"17,095",0.5,"17,108",0.85,"9,743",-0.14
Furious Punishment Goku Black (Super Saiyan Rose'),Extreme,STR,,"10,875",-0.01,"11,330",0.54,"6,025",0.22,,"12,875",0.05,"13,330",0.59,"8,025",0.32,,"15,875",0.16,"16,730",0.72,"10,625",0.27
Transdimensional Instinct Goku (Ultra Instinct -Sign-),Super,INT,,"10,335",-0.18,"11,654",0.67,"5,890",0.14,,"12,335",-0.11,"13,654",0.72,"7,890",0.25,,"15,335",0.01,"16,654",0.7,"10,890",0.4
Explosive Evolution Turles,Extreme,AGL,,"11,410",0.16,"10,676",0.28,"5,825",0.1,,"13,410",0.22,"12,676",0.35,"7,825",0.21,,"16,010",0.2,"15,676",0.37,"11,225",0.55
Absolute Power Jiren,Super,STR,,"9,590",-0.42,"10,780",0.32,"6,606",0.56,,"11,590",-0.33,"12,780",0.39,"8,606",0.64,,"14,590",-0.2,"16,180",0.54,"11,206",0.54
